function,label
StrNCat,1
 getaddrinfo,1
 _ui64toa,1
 fclose,1
 pthread_mutex_lock,1
 gets_s,1
 sleep,1
 _ui64tot,1
 freopen_s,1
 _ui64tow,1
 send,1
 lstrcat,1
 HMAC_Update,1
 _fxstat,1
 StrCatBuff,1
 _mbscat,1
 _mbstok_s,1
 _cprintf s,1
 ldap_search_init_page,1
 memmove_s,1
 ctime_s,1
 vswprintf,1
 vswprintf s,1
 _snwprintf,1
 gmtime_s,1
 _tccpy,1
 *RC6*,1
 _mbslwr_s,1
 random,1
 wcstof internal,1
 _wcslwr_s,1
 _ctime32_s,1
 wcsncat*,1
 MD5_Init,1
 _ultoa,1
 snprintf,1
 memset,1
 syslog,1
 _vsnprintf_s,1
 HeapAlloc,1
 pthread_mutex_destroy,1
 ChangeWindowMessageFilter,1
 _ultot,1
 crypt_r,1
 _strupr_s_1,1
 LoadLibraryExA,1
 _strerror_s,1
 LoadLibraryExW,1
 wvsprintf,1
 MoveFileEx,1
 _strdate_s,1
 SHA 1 ,1
 sprintfW,1
 StrCatNW,1
 _scanf sl,1
 pthread_attr_init,1
 _wtmpnam_s,1
 snscanf,1
 _sprintf s_1,1
 dlopen,1
 sprintfA,1
 timed_mutex,1
 OemToCharA,1
 ldap_delete_ext,1
 sethostid,1
 popen,1
 OemToCharW,1
 _gettws,1
 vfork,1
 _wcsnset_s_1,1
 sendmsg,1
 _mbsncat,1
 wvnsprintfA,1
 HeapFree,1
 _wcserror_s,1
 realloc,1
 _snprintf*,1
 wcstok,1
 _strncat*,1
 StrNCpy,1
 _wasctime_s,1
 push*,1
 _lfind_s,1
 CC_SHA512,1
 ldap_compare_ext_s,1
 wcscat_s,1
 strdup,1
 _chsize_s,1
 sprintf s,1
 CC_MD4_Init,1
 wcsncpy,1
 _wfreopen_s,1
 _wcsupr_s,1
 _searchenv_s,1
 ldap_modify_ext_s,1
 _wsplitpath,1
 CC_SHA384_Final,1
 MD2,1
 RtlCopyMemory,1
 lstrcatW,1
 MD4,1
 MD5,1
 _wcstok_s_1,1
 _vsnwprintf s,1
 ldap_modify_s,1
 strerror,1
 _lsearch_s,1
 _mbsnbcat_s,1
 _wsplitpath_s,1
 MD4_Update,1
 _mbccpy_s,1
 _strricpy_s_1,1
 _snprintf s,1
 CC_SHA512_Init,1
 fwscanf s,1
 _snwprintf s,1
 CC_SHA 1 ,1
 swprintf,1
 fprintf,1
 EVP_DigestInit_ex,1
 strlen,1
 SHA Unit,1
 strncat,1
 _getws_s,1
 CC_MD4_Final,1
 wnsprintfW,1
 lcong48,1
 Irand48,1
 write,1
 HMAC_Init,1
 _wfopen_s,1
 wmemchr,1
 _tmakepath,1
 wnsprintfA,1
 lstrcpynW,1
 scanf s,1
 _mbsncpy_s_l,1
 _localtime64_s,1
 fstream.open,1
 _wmakepath,1
 Connection. open,1
 _tccat,1
 valloc,1
 setgroups,1
 unlink,1
 fstream.put,1
 wsprintfA,1
 *SHA 1 *,1
 _wsearchenv_s,1
 ualstrcpyA,1
 CC_MD5_Update,1
 strerror_s,1
 HeapCreate,1
